PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_12868	chr8	74743203	74744769	+	2828.62	NA	intron (NM_026455, intron 2 of 3)	intron (NM_026455, intron 2 of 3)	357	NM_026455	67922	Mm.28327	NM_026455	ENSMUSG00000003039	Fam32a	2510049I19Rik|AW822030|OTAG-12|Otag12	family with sequence similarity 32, member A	protein-coding
MACS_peak_714	chr1	177554578	177556120	+	2827.50	NA	intron (NM_010209, intron 1 of 9)	intron (NM_010209, intron 1 of 9)	417	NM_010209	14194	Mm.41502	NM_010209	ENSMUSG00000026526	Fh1	Fh|Fh-1	fumarate hydratase 1	protein-coding
MACS_peak_12639	chr8	28133472	28135440	+	2827.06	NA	intron (NM_153592, intron 1 of 11)	CpG	185	NM_153592	244373	Mm.277699	NM_153592	ENSMUSG00000031483	Erlin2	BC036333|C87251|Spfh2	ER lipid raft associated 2	protein-coding
MACS_peak_14503	chrX	151649631	151651361	+	2826.64	NA	intron (NM_009121, intron 1 of 5)	intron (NM_009121, intron 1 of 5)	456	NM_009121	20229	Mm.474481	NM_009121	ENSMUSG00000025283	Sat1	AA617398|SSAT|Sat	spermidine/spermine N1-acetyl transferase 1	protein-coding
MACS_peak_13382	chr9	25288752	25291039	+	2825.68	NA	5' UTR (NM_026189, exon 2 of 8)	5' UTR (NM_026189, exon 2 of 8)	713	NM_026189	67484	Mm.112977	NM_026189	ENSMUSG00000036611	Eepd1	2310005P05Rik|AI481005	endonuclease/exonuclease/phosphatase family domain containing 1	protein-coding
MACS_peak_4638	chr15	76076542	76078471	+	2825.11	NA	intron (NM_023168, intron 1 of 6)	CpG	269	NM_023168	66168	Mm.41665	NM_023168	ENSMUSG00000022564	Grina	1110025J15Rik|Lag	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	protein-coding
MACS_peak_13036	chr8	97665170	97667044	+	2824.71	NA	intron (NM_010631, intron 1 of 19)	intron (NM_010631, intron 1 of 19)	333	NM_010631	16582	Mm.378951	NM_001145831	ENSMUSG00000031788	Kifc3	AI325457|BB123200	kinesin family member C3	protein-coding
MACS_peak_13128	chr8	112228703	112231131	+	2823.73	NA	promoter-TSS (NM_029468)	promoter-TSS (NM_029468)	-71	NM_029468	75871	Mm.286964	NM_001167946	ENSMUSG00000031728	Zfp821	4930566A11Rik|Znf821	zinc finger protein 821	protein-coding
MACS_peak_13731	chr9	77192326	77196099	+	2823.36	NA	intron (NM_027150, intron 1 of 7)	(TG)n|Simple_repeat|Simple_repeat	1465	NM_027150	69642	Mm.35008	NM_027150	ENSMUSG00000032355	Mlip	2310046A06Rik|AI931782|CIP	muscular LMNA-interacting protein	protein-coding
MACS_peak_5494	chr17	15177341	15179452	+	2821.45	NA	promoter-TSS (NM_001039552)	promoter-TSS (NM_001039552)	127	NM_001123368	100041586	Mm.482175	NM_001123368	ENSMUSG00000036648	Gm3417	-	predicted gene 3417	protein-coding
MACS_peak_177	chr1	55281821	55284250	+	2821.04	NA	exon (NM_028713, exon 1 of 9)	exon (NM_028713, exon 1 of 9)	591	NM_028713	74013	Mm.292050	NM_028713	ENSMUSG00000025978	Rftn2	2700010E02Rik|3222401M22Rik	raftlin family member 2	protein-coding
MACS_peak_1115	chr10	62799941	62802676	+	2819.48	NA	intron (NM_019812, intron 1 of 8)	CpG	472	NM_019812	93759	Mm.351459	NM_001159590	ENSMUSG00000020063	Sirt1	AA673258|SIR2L1|Sir2|Sir2a|Sir2alpha	sirtuin 1 (silent mating type information regulation 2, homolog) 1 (S. cerevisiae)	protein-coding
MACS_peak_10220	chr5	89193218	89195270	+	2819.27	NA	5' UTR (NM_007832, exon 1 of 7)	5' UTR (NM_007832, exon 1 of 7)	206	NM_007832	13178	Mm.298892	NM_007832	ENSMUSG00000029366	Dck	-	deoxycytidine kinase	protein-coding
MACS_peak_955	chr10	30319457	30321312	+	2816.94	NA	intron (NM_028604, intron 1 of 12)	CpG	171	NM_028604	73681	Mm.294503	NM_028604	ENSMUSG00000019792	Trmt11	2410075D05Rik|3110045I18Rik|AW213713	tRNA methyltransferase 11 homolog (S. cerevisiae)	protein-coding
MACS_peak_4170	chr14	57675412	57677554	+	2816.64	NA	intron (NM_016975, intron 1 of 1)	CpG	299	NM_016975	14611	Mm.393732	NM_016975	ENSMUSG00000048582	Gja3	Cnx46|Cx43|Cx46|Gja-3	gap junction protein, alpha 3	protein-coding
MACS_peak_6520	chr18	84757487	84758668	+	2816.56	NA	intron (NM_001033341, intron 1 of 8)	intron (NM_001033341, intron 1 of 8)	819	NM_001033341	240476	Mm.329575	NM_001033341	ENSMUSG00000048410	Zfp407	6430585N13Rik|Gm333|Gm334|Gm948|ZNF407	zinc finger protein 407	protein-coding
MACS_peak_5208	chr16	35021960	35023698	+	2816.49	NA	intron (NM_023587, intron 1 of 6)	CpG	322	NM_023587	70757	Mm.27286	NM_023587	ENSMUSG00000035376	Ptplb	6330408J20Rik|AI255777|AI481689|HACD2	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	protein-coding
MACS_peak_8276	chr3	36761499	36763224	+	2816.00	NA	intron (NM_172679, intron 1 of 85)	CpG	333	NM_172679	229227	Mm.207907	NM_172679	ENSMUSG00000037270	4932438A13Rik	4732443H21|B830039D19Rik|D630029K19Rik|FSA|Kiaa1109|RP23-243E17.1|Tweek	RIKEN cDNA 4932438A13 gene	protein-coding
MACS_peak_12711	chr8	47576031	47578128	+	2815.55	NA	intron (NM_007981, intron 1 of 20)	intron (NM_007981, intron 1 of 20)	20683	NM_007981	14081	Mm.210323	NM_007981	ENSMUSG00000018796	Acsl1	Acas|Acas1|Acs|FACS|Facl2	acyl-CoA synthetase long-chain family member 1	protein-coding
MACS_peak_13207	chr8	124473790	124475872	+	2815.27	NA	intron (NM_001110100, intron 1 of 13)	CpG	398	NM_001110100	53325	Mm.287163	NM_001110100	ENSMUSG00000025316	Banp	AA408158|SMAR1	BTG3 associated nuclear protein	protein-coding
MACS_peak_8610	chr3	96438700	96440582	+	2814.83	NA	promoter-TSS (NM_001162388)	promoter-TSS (NM_001162388)	-129	NM_001162388	18632	Mm.20901	NM_001162387	ENSMUSG00000028102	Pex11b	PEX11beta|Pex11pbeta	peroxisomal biogenesis factor 11 beta	protein-coding
MACS_peak_1935	chr11	60164990	60167537	+	2813.75	NA	promoter-TSS (NM_029044)	promoter-TSS (NM_029044)	144	NM_153080	216810	Mm.218875	NM_001039093	ENSMUSG00000000538	Tom1l2	2900016I08Rik|A730055F12Rik|AU042072|Srebf1	target of myb1-like 2 (chicken)	protein-coding
MACS_peak_8977	chr4	21702899	21704589	+	2813.18	NA	intron (NM_152825, intron 1 of 17)	CpG	327	NM_152825	77593	Mm.154306	NM_152825	ENSMUSG00000040455	Usp45	3110003C05Rik|4930550B20Rik|AI843191|Gcap7	ubiquitin specific petidase 45	protein-coding
MACS_peak_1485	chr10	120801471	120803638	+	2813.03	NA	intron (NM_029364, intron 1 of 13)	CpG-1541	408	NM_029364	75612	Mm.207683	NM_029364	ENSMUSG00000034707	Gns	2610016K11Rik|AU042285|C87209|G6S|N28088	glucosamine (N-acetyl)-6-sulfatase	protein-coding
MACS_peak_9854	chr4	155107988	155110185	+	2812.05	NA	5' UTR (NM_001101506, exon 1 of 4)	5' UTR (NM_001101506, exon 1 of 4)	173	NM_001101506	381582	Mm.379515	NM_001101506	ENSMUSG00000084845	Tmem240	EG381582|Gm5151	transmembrane protein 240	protein-coding
MACS_peak_4134	chr14	55709913	55711655	+	2811.44	NA	intron (NM_001039198, intron 1 of 9)	(A)n|Simple_repeat|Simple_repeat	101	NM_001039198	239102	Mm.441113	NM_001039198	ENSMUSG00000040721	Zfhx2	ZFH-5	zinc finger homeobox 2	protein-coding
MACS_peak_11627	chr7	19678586	19681585	+	2811.30	NA	TTS (NM_001190491)	TTS (NM_001190491)	192	NM_011383	20475	Mm.3410	NM_011383	ENSMUSG00000040841	Six5	Dmahp|MDMAHP|TrexBF	sine oculis-related homeobox 5	protein-coding
MACS_peak_558	chr1	154232742	154234298	+	2811.16	NA	intron (NM_025677, intron 1 of 4)	CpG	292	NM_025677	66637	Mm.379120	NM_025677	ENSMUSG00000014980	Tsen15	5730449L18Rik|AL023077|Sen15	tRNA splicing endonuclease 15 homolog (S. cerevisiae)	protein-coding
MACS_peak_11378	chr6	124988899	124990822	+	2807.97	NA	promoter-TSS (NM_133345)	promoter-TSS (NM_133345)	-6	NM_133345	28019	Mm.262547	NM_133345	ENSMUSG00000030330	Ing4	D6Wsu147e|D6Xrf92|p29ING4	inhibitor of growth family, member 4	protein-coding
MACS_peak_10781	chr6	4035964	4037534	+	2807.32	NA	intron (NM_009748, intron 1 of 3)	intron (NM_009748, intron 1 of 3)	178	NM_009748	12068	Mm.286457	NM_009748	ENSMUSG00000032757	Bet1	AW555236|Bet-1	blocked early in transport 1 homolog (S. cerevisiae)	protein-coding
MACS_peak_1297	chr10	80892182	80894472	+	2806.87	NA	Intergenic	CpG	-3409	NM_026756	18029	Mm.453078	NM_008688	ENSMUSG00000055053	Nfic	1110019L22Rik|1500041O16Rik|AA589446|AI746521|NF1-C	nuclear factor I/C	protein-coding
MACS_peak_1642	chr11	6288691	6291041	+	2806.32	NA	intron (NM_028601, intron 1 of 19)	CpG	499	NM_028601	52915	Mm.1144	NM_001005867	ENSMUSG00000041164	Zmiz2	2410117E06Rik|D11Bwg0280e|R74931|Zimp7	zinc finger, MIZ-type containing 2	protein-coding
MACS_peak_5225	chr16	37653090	37654887	+	2805.11	NA	intron (NM_026610, intron 1 of 2)	intron (NM_026610, intron 1 of 2)	466	NM_026610	68194	Mm.390788	NM_026610	ENSMUSG00000022820	Ndufb4	0610006N12Rik|1300010H20Rik	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 4	protein-coding
MACS_peak_6871	chr19	43597058	43599988	+	2804.51	NA	intron (NM_010324, intron 1 of 8)	intron (NM_010324, intron 1 of 8)	572	NM_010324	14718	Mm.19039	NM_010324	ENSMUSG00000025190	Got1	AI789014|Got-1|cAspAT	glutamate oxaloacetate transaminase 1, soluble	protein-coding
MACS_peak_10944	chr6	42658943	42660496	+	2804.26	NA	Intergenic	Intergenic	-16661	NM_029930	77574	Mm.24652	NM_029930	ENSMUSG00000036667	Fam115a	2810407D09Rik|3321401G04Rik|A230020K05Rik|AI848529	family with sequence similarity 115, member A	protein-coding
MACS_peak_12195	chr7	109589672	109592058	+	2803.80	NA	intron (NM_009103, intron 1 of 18)	intron (NM_009103, intron 1 of 18)	656	NM_009103	20133	Mm.415177	NM_009103	ENSMUSG00000030978	Rrm1	RnrM1	ribonucleotide reductase M1	protein-coding
MACS_peak_2128	chr11	75463716	75466355	+	2801.62	NA	promoter-TSS (NM_008659)	promoter-TSS (NM_008659)	24	NM_008659	17913	Mm.234502	NM_001080774	ENSMUSG00000017774	Myo1c	C80397|MMIb|MYO1E|NMI|mm1beta|myr2	myosin IC	protein-coding
MACS_peak_9337	chr4	109329113	109331101	+	2801.44	NA	Intergenic	CpG	7870	NM_007671	12580	Mm.1912	NM_007671	ENSMUSG00000028551	Cdkn2c	C77269|INK4c|INK4d|p18|p18INK4c	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	protein-coding
MACS_peak_9602	chr4	133227018	133230096	+	2800.93	NA	promoter-TSS (NM_178698)	promoter-TSS (NM_178698)	5	NM_001145956	230801	Mm.217004	NM_001145955	ENSMUSG00000043257	Pigv	B330013B03|D430024F16Rik	phosphatidylinositol glycan anchor biosynthesis, class V	protein-coding
MACS_peak_10735	chr5	147604702	147606694	+	2800.61	NA	intron (NM_011669, intron 1 of 8)	intron (NM_011669, intron 1 of 8)	834	NM_011669	22217	Mm.167971	NM_011669	ENSMUSG00000029640	Usp12	Ubh1	ubiquitin specific peptidase 12	protein-coding
MACS_peak_4973	chr16	3743026	3745429	+	2800.55	NA	5' UTR (NM_148924, exon 1 of 6)	5' UTR (NM_148924, exon 1 of 6)	128	NM_148924	74120	Mm.29081	NM_148924	ENSMUSG00000022529	Zfp263	1200014J04Rik|AI326880|AU020888|NT2|mFPM315	zinc finger protein 263	protein-coding
MACS_peak_3651	chr13	67600318	67601871	+	2800.48	NA	intron (NM_001007575, intron 1 of 3)	intron (NM_001007575, intron 1 of 3)	364	NM_001007575	238693	Mm.478914	NM_001007575	ENSMUSG00000071291	Zfp58	A530094I17Rik|Mfg-1|Mfg1|Rslcan5|Zfp817	zinc finger protein 58	protein-coding
MACS_peak_12097	chr7	91040133	91042027	+	2800.08	NA	intron (NM_023403, intron 1 of 2)	intron (NM_023403, intron 1 of 2)	570	NM_023403	67943	Mm.117365	NM_023403	ENSMUSG00000038503	Mesdc2	2210015O11Rik|AW537813|mKIAA0081|mesd|msd	mesoderm development candidate 2	protein-coding
MACS_peak_820	chr1	193914909	193917196	+	2799.89	NA	intron (NM_011633, intron 1 of 9)	intron (NM_011633, intron 1 of 9)	393	NM_011633	22033	Mm.389227	NM_011633	ENSMUSG00000026637	Traf5	-	TNF receptor-associated factor 5	protein-coding
MACS_peak_10712	chr5	144491490	144494052	+	2798.99	NA	intron (NM_029749, intron 1 of 17)	CpG	378	NM_029749	76800	Mm.259620	NM_029749	ENSMUSG00000051306	Usp42	2410140K03Rik|3110031A07Rik|A630018G05Rik|D5Ertd591e	ubiquitin specific peptidase 42	protein-coding
MACS_peak_3200	chr12	112081794	112084661	+	2798.37	NA	Intergenic	CpG	-4078	NM_011973	26448	Mm.140948	NM_011973	ENSMUSG00000056458	Stk30	MOK|RAGE1|Rage	serine/threonine kinase 30	protein-coding
MACS_peak_2638	chr11	116532279	116534407	+	2797.71	NA	promoter-TSS (NR_028569)	promoter-TSS (NR_028569)	369	NR_027820	66293	Mm.432051	NM_025472		1810032O08Rik	-	RIKEN cDNA 1810032O08 gene	miscRNA
MACS_peak_5718	chr17	32172520	32174424	+	2797.10	NA	exon (NM_028244, exon 1 of 16)	exon (NM_028244, exon 1 of 16)	365	NM_028244	72462	Mm.102761	NM_001163734	ENSMUSG00000058392	Rrp1b	2600005C20Rik|D030064A17|Kiaa0179|mKIAA0179	ribosomal RNA processing 1 homolog B (S. cerevisiae)	protein-coding
MACS_peak_13576	chr9	57399599	57400966	+	2796.62	NA	intron (NM_025837, intron 1 of 7)	intron (NM_025837, intron 1 of 7)	277	NM_025837	110119	Mm.247218	NM_025837	ENSMUSG00000032306	Mpi	1110002E17Rik|AI315153|Mpi-1|Mpi1	mannose phosphate isomerase	protein-coding
MACS_peak_13365	chr9	22029460	22031158	+	2796.50	NA	intron (NR_028420, intron 1 of 4)	CpG	153	NM_001164624	235047	Mm.290849	NM_001164624	ENSMUSG00000057982	Zfp809	BB114266|C330026E23	zinc finger protein 809	protein-coding
MACS_peak_13549	chr9	55056038	55057917	+	2795.51	NA	exon (NM_028049, exon 1 of 7)	exon (NM_028049, exon 1 of 7)	235	NM_028049	71999	Mm.276429	NM_028049	ENSMUSG00000032309	Fbxo22	0610033L19Rik|1600016C16Rik	F-box protein 22	protein-coding
MACS_peak_5044	chr16	14162755	14164720	+	2795.50	NA	intron (NM_023317, intron 1 of 8)	CpG	369	NM_023317	67203	Mm.24105	NM_001114085	ENSMUSG00000022678	Nde1	2810027M15Rik|AU042936|AW822251|Nude|mNudE	nuclear distribution gene E homolog 1 (A nidulans)	protein-coding
MACS_peak_2211	chr11	80592121	80593910	+	2794.93	NA	intron (NM_177390, intron 1 of 21)	intron (NM_177390, intron 1 of 21)	512	NM_177390	338367	Mm.151948	NM_177390	ENSMUSG00000035441	Myo1d	9930104H07Rik|AW544947|D11Ertd9e|myosin-1d	myosin ID	protein-coding
MACS_peak_3955	chr14	22803972	22807968	+	2794.82	NA	intron (NM_145459, intron 2 of 2)	CpG	2853	NM_145459	218820	Mm.292401	NM_145459	ENSMUSG00000039081	Zfp503	AI181838|B830002A16Rik|Nolz-1|Nolz1|Znf503	zinc finger protein 503	protein-coding
MACS_peak_13801	chr9	90164203	90166287	+	2793.10	NA	exon (NM_194334, exon 1 of 13)	exon (NM_194334, exon 1 of 13)	362	NM_194334	67016	Mm.335347	NM_194334	ENSMUSG00000037410	Tbc1d2b	1810061M12Rik|AI480956|AV021536|AV023399|AW491493|mKIAA1055	TBC1 domain family, member 2B	protein-coding
MACS_peak_13992	chr9	114548010	114549678	+	2792.95	NA	intron (NM_153585, intron 1 of 19)	intron (NM_153585, intron 1 of 19)	474	NM_153585	78893	Mm.486302	NM_153585	ENSMUSG00000056167	Cnot10	2600001P13Rik	CCR4-NOT transcription complex, subunit 10	protein-coding
MACS_peak_2951	chr12	70825039	70826891	+	2792.15	NA	promoter-TSS (NM_145443)	promoter-TSS (NM_145443)	16	NM_026536	68055	Mm.27844	NM_026536	ENSMUSG00000054894	Atp5s	1110015E18Rik|ATPW	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s	protein-coding
MACS_peak_12500	chr7	150644519	150647252	+	2791.76	NA	exon (NM_009876, exon 2 of 4)	exon (NM_009876, exon 2 of 4)	1070	NM_009876	12577	Mm.168789	NM_001161624	ENSMUSG00000037664	Cdkn1c	AL024410|CDKI|Kip2|p57(kip2)|p57Kip2	cyclin-dependent kinase inhibitor 1C (P57)	protein-coding
MACS_peak_12323	chr7	133391510	133394770	+	2791.59	NA	Intergenic	Intergenic	-22993	NM_145587	104175	Mm.29660	NM_145587	ENSMUSG00000042978	Sbk1	Sbk	SH3-binding kinase 1	protein-coding
MACS_peak_9709	chr4	141348820	141350778	+	2791.40	NA	exon (NM_015733, exon 1 of 9)	exon (NM_015733, exon 1 of 9)	272	NM_015733	12371	Mm.88829	NM_015733	ENSMUSG00000028914	Casp9	AI115399|AW493809|Caspase-9|ICE-LAP6|Mch6	caspase 9	protein-coding
MACS_peak_10956	chr6	47761653	47764360	+	2791.24	NA	intron (NM_009787, intron 1 of 9)	intron (NM_009787, intron 1 of 9)	505	NM_009787	12304	Mm.2442	NM_009787	ENSMUSG00000025823	Pdia4	AI987846|Cai|ERp-72|Erp72	protein disulfide isomerase associated 4	protein-coding
MACS_peak_6619	chr19	5923433	5925810	+	2791.22	NA	intron (NM_026772, intron 1 of 1)	intron (NM_026772, intron 1 of 1)	195	NM_026772	104252	Mm.195932	NM_026772	ENSMUSG00000045664	Cdc42ep2	1110008C05Rik|Borg1|Cep2|D19Bwg1013e	CDC42 effector protein (Rho GTPase binding) 2	protein-coding
MACS_peak_10194	chr5	76957948	76959431	+	2789.88	NA	intron (NM_027270, intron 1 of 19)	intron (NM_027270, intron 1 of 19)	341	NM_027270	69940	Mm.403233	NM_027270	ENSMUSG00000036435	Exoc1	2810407P21Rik|A730011E05Rik|SEC3|Sec3l1|Sec3p	exocyst complex component 1	protein-coding
MACS_peak_8042	chr2	166537669	166540493	+	2788.10	NA	exon (NM_177782, exon 1 of 40)	exon (NM_177782, exon 1 of 40)	251	NM_177782	277360	Mm.489669	NM_177782	ENSMUSG00000039621	Prex1	G630042G04|P-REX1|Setd6	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	protein-coding
MACS_peak_10191	chr5	76568500	76570539	+	2787.42	NA	exon (NM_020611, exon 1 of 6)	exon (NM_020611, exon 1 of 6)	221	NM_020611	57357	Mm.289446	NM_020611	ENSMUSG00000029233	Srd5a3	1110025P14Rik|A430076C09|AV364670|AW987574|D730040M03Rik|H5ar|S5AR 3|Srd5a2l	steroid 5 alpha-reductase 3	protein-coding
MACS_peak_13804	chr9	92144433	92146759	+	2787.33	NA	intron (NM_011636, intron 1 of 8)	intron (NM_011636, intron 1 of 8)	564	NM_011636	22038	Mm.441702	NM_011636	ENSMUSG00000032369	Plscr1	MmTRA1a|MmTRA1b|Nor1|Tra1|Tra1a|Tra1b|Tras1|Tras2	phospholipid scramblase 1	protein-coding
MACS_peak_7084	chr2	18686811	18689585	+	2787.25	NA	Intergenic	Intergenic	67549	NM_001001334	381350	Mm.330024	NM_001001334	ENSMUSG00000037708	BC061194	-	cDNA sequence BC061194	protein-coding
MACS_peak_8162	chr2	180921156	180923152	+	2787.01	NA	5' UTR (NM_025598, exon 1 of 5)	5' UTR (NM_025598, exon 1 of 5)	106	NM_025598	66496	Mm.213943	NM_025598	ENSMUSG00000016344	Ppdpf	0610012G23Rik|2610317A05Rik|2700038C09Rik|3110053G12Rik	pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish)RIKEN cDNA 2700038C09 gene	protein-coding
MACS_peak_586	chr1	157887510	157889693	+	2786.94	NA	intron (NM_172843, intron 2 of 6)	intron (NM_172843, intron 2 of 6)	610	NM_022329	240832	Mm.253335	NM_001160180	ENSMUSG00000050565	Tor1aip2	1110020D10Rik|15kDa|A130072J07|AA103493|AW060462|AW610675|C77739|Ifrg15|Lull1	torsin A interacting protein 2	protein-coding
MACS_peak_4805	chr15	88581010	88583364	+	2786.70	NA	promoter-TSS (NM_181412)	promoter-TSS (NM_181412)	46	NM_181412	223773	Mm.396622	NM_181412	ENSMUSG00000034333	Zbed4	1700009F06Rik	zinc finger, BED domain containing 4	protein-coding
MACS_peak_3852	chr13	113450118	113451892	+	2786.67	NA	promoter-TSS (NM_178746)	promoter-TSS (NM_178746)	31	NM_178746	268706	Mm.480005	NM_175376	ENSMUSG00000047789	Slc38a9	4833412L08Rik|6720411P22Rik|9130023D20Rik|9430067K09Rik|A730092C09	solute carrier family 38, member 9	protein-coding
MACS_peak_14036	chr9	121627502	121629994	+	2786.43	NA	intron (NM_010918, intron 2 of 16)	CpG-15525	449	NM_010918	18087	Mm.441099	NM_010918	ENSMUSG00000032525	Nktr	5330401F18Rik|D9Wsu172e	natural killer tumor recognition sequence	protein-coding
MACS_peak_3688	chr13	74453781	74455625	+	2786.05	NA	promoter-TSS (NM_011051)	promoter-TSS (NM_011051)	71	NM_011051	18570	Mm.24254	NM_011051	ENSMUSG00000021576	Pdcd6	AV299538|Alg2|MA-3|PS2|alg-2	programmed cell death 6	protein-coding
MACS_peak_9212	chr4	83130878	83133173	+	2786.01	NA	intron (NM_133948, intron 1 of 15)	CpG-10019	269	NM_133948	101739	Mm.448301	NM_133948	ENSMUSG00000028484	Psip1	AA408851|AU015605|Dfs70|Ledgfa|Ledgfb|Psip2	PC4 and SFRS1 interacting protein 1	protein-coding
MACS_peak_2175	chr11	77995391	77997495	+	2785.75	NA	TTS (NR_037683)	TTS (NR_037683)	172	NR_037683	100529077		NR_037683		Snord42b	MBII-287|U42B	small nucleolar RNA, C/D box 42B	snoRNA
MACS_peak_6346	chr18	46439273	46441127	+	2783.58	NA	intron (NM_172627, intron 1 of 8)	CpG	304	NM_172627	225467	Mm.393044	NM_172627	ENSMUSG00000024477	Pggt1b	2010207C17Rik|2610100E13|AI451237|AI551093|BGG1|GGT1	protein geranylgeranyltransferase type I, beta subunit	protein-coding
MACS_peak_5975	chr17	57128741	57130676	+	2783.11	NA	promoter-TSS (NM_017393)	promoter-TSS (NM_017393)	21	NM_017393	53895	Mm.287892	NM_017393	ENSMUSG00000002660	Clpp	AU019820|D17Wsu160e	ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit	protein-coding
MACS_peak_11315	chr6	118088014	118089627	+	2782.48	NA	intron (NM_030165, intron 1 of 7)	intron (NM_030165, intron 1 of 7)	338	NM_030165	78752	Mm.300317	NM_030165	ENSMUSG00000042042	Csgalnact2	4632415D10Rik|Galnact2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	protein-coding
MACS_peak_9681	chr4	138907401	138909445	+	2782.46	NA	promoter-TSS (NM_146157)	promoter-TSS (NM_146157)	-85	NM_001039200	230866	Mm.394288	NM_001039200	ENSMUSG00000078517	Emc1	2700016F22Rik|C230096C10Rik|Kiaa0090|mKIAA0090	ER membrane protein complex subunit 1	protein-coding
MACS_peak_1878	chr11	55017487	55018990	+	2781.01	NA	intron (NM_153139, intron 1 of 10)	intron (NM_153139, intron 1 of 10)	396	NM_153139	215335	Mm.35732	NM_153139	ENSMUSG00000020261	Slc36a1	5830411H19Rik|AI839897|Pat1	solute carrier family 36 (proton/amino acid symporter), member 1	protein-coding
MACS_peak_4620	chr15	75671326	75673316	+	2780.19	NA	promoter-TSS (NM_172121)	promoter-TSS (NM_172121)	17	NM_172121	223642	Mm.209800	NM_172121	ENSMUSG00000075600	Zc3h3	BC049953|Kiaa0150|Smicl|Zc3hdc3	zinc finger CCCH type containing 3	protein-coding
MACS_peak_9468	chr4	124377235	124379506	+	2780.06	NA	intron (NM_010213, intron 1 of 5)	intron (NM_010213, intron 1 of 5)	427	NM_010213	14201	Mm.331856	NM_010213	ENSMUSG00000032643	Fhl3	SLIM2	four and a half LIM domains 3	protein-coding
MACS_peak_11172	chr6	87930114	87932475	+	2779.49	NA	promoter-TSS (NR_026990)	promoter-TSS (NR_026990)	182	NM_198622	243529	Mm.33796	NM_198622	ENSMUSG00000044927	H1fx	Gm461|H1X	H1 histone family, member X	protein-coding
MACS_peak_8538	chr3	93247360	93251984	+	2779.10	NA	exon (NM_001163098, exon 2 of 2)	exon (NM_001163098, exon 2 of 2)	3420	NM_001163098	99681	Mm.316671	NM_001163098	ENSMUSG00000052415	Tchh	AHF|AI597080|Thh	trichohyalin	protein-coding
MACS_peak_3579	chr13	56803809	56806246	+	2778.93	NA	promoter-TSS (NM_001164042)	promoter-TSS (NM_001164042)	-2	NM_001164042	17129	Mm.272920	NM_001164041	ENSMUSG00000021540	Smad5	1110051M15Rik|AI451355|Dwf-C|Madh5|MusMLP	SMAD family member 5	protein-coding
MACS_peak_5206	chr16	34690209	34691870	+	2778.64	NA	intron (NM_172824, intron 1 of 12)	CpG	337	NM_172824	239839	Mm.272045	NM_172824	ENSMUSG00000022833	Ccdc14	G630039H03Rik	coiled-coil domain containing 14	protein-coding
MACS_peak_1516	chr10	126557309	126558551	+	2777.98	NA	intron (NM_001171026, intron 1 of 14)	intron (NM_001171026, intron 1 of 14)	286	NM_177614	216440	Mm.295246	NM_001171026	ENSMUSG00000040462	Os9	4632413K17Rik|AU022351	amplified in osteosarcoma	protein-coding
MACS_peak_9565	chr4	131900003	131902021	+	2777.44	NA	intron (NM_133878, intron 1 of 9)	CpG	653	NM_133878	100088	Mm.255045	NM_001197082	ENSMUSG00000028896	Rcc1	4931417M11Rik|AI326872|Chc1	regulator of chromosome condensation 1	protein-coding
MACS_peak_5172	chr16	31663013	31665140	+	2777.40	NA	promoter-TSS (NM_001252433)	promoter-TSS (NM_001252433)	55	NM_001252434	13383	Mm.382	NM_001252433	ENSMUSG00000022770	Dlg1	B130052P05Rik|Dlgh1|E-dlg/SAP97|SAP-97|SAP97|mKIAA4187	discs, large homolog 1 (Drosophila)	protein-coding
MACS_peak_5725	chr17	32499897	32502040	+	2775.76	NA	intron (NR_033525, intron 4 of 10)	intron (NR_033525, intron 4 of 10)	-13446	NM_017476	54194	Mm.488380	NM_017476	ENSMUSG00000002625	Akap8l	HAP95|Nakap95	A kinase (PRKA) anchor protein 8-like	protein-coding
MACS_peak_13301	chr9	15513368	15515173	+	2774.86	NA	promoter-TSS (NM_172289)	promoter-TSS (NM_172289)	57	NM_172289	234967	Mm.138815	NM_172289	ENSMUSG00000043885	Slc36a4	6330573I15Rik|PAT4	solute carrier family 36 (proton/amino acid symporter), member 4	protein-coding
MACS_peak_8048	chr2	166840147	166841929	+	2774.66	NA	intron (NM_153065, intron 1 of 20)	CpG	225	NM_153065	228889	Mm.295031	NM_153065	ENSMUSG00000017999	Ddx27	C86129	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	protein-coding
